Bait	Prey	PreyGene.x	Spec	SpecSum	AvgSpec	NumReplicates.x	ctrlCounts	AvgP.x	MaxP.x	TopoAvgP.x	TopoMaxP.x	SaintScore.x	logOddsScore	FoldChange.x	BFDR.x	boosted_by.x
DNMT3A	O00422	SAP18_HUMAN	6|7|8|10	31	7.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.51	77.5	0.0	
DNMT3A	O00571	DDX3X_HUMAN	3|7|11|9	30	7.5	4	0|1|3|3|0|0|0|0	0.99	1.0	0.99	1.0	0.99	3.63	8.57	0.0	
DNMT3A	O15027	SC16A_HUMAN	40|38|32|37	147	36.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	52.31	367.5	0.0	
DNMT3A	O15042	SR140_HUMAN	5|3|4|2	14	3.5	4	2|0|2|2|0|0|0|0	0.98	1.0	0.98	1.0	0.98	2.81	4.67	0.0	
DNMT3A	O15056	SYNJ2_HUMAN	5|6|7|5	23	5.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.87	57.5	0.0	
DNMT3A	O43143	DHX15_HUMAN	8|13|9|16	46	11.5	4	0|0|1|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.2	92.0	0.0	
DNMT3A	O43390	HNRPR_HUMAN	7|10|7|13	37	9.25	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	15.11	92.5	0.0	
DNMT3A	O60506	HNRPQ_HUMAN	12|14|14|19	59	14.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	22.86	147.5	0.0	
DNMT3A	O60783	RT14_HUMAN	2|2|2|2	8	2.0	4	2|1|2|2|0|0|0|0	0.91	0.91	0.91	0.91	0.91	2.27	2.29	0.0	
DNMT3A	O60884	DNJA2_HUMAN	2|2|2|2	8	2.0	4	0|1|0|1|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.78	8.0	0.0	
DNMT3A	O75369	FLNB_HUMAN	3|2|2|2	9	2.25	4	2|0|2|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.65	4.5	0.0	
DNMT3A	O75376	NCOR1_HUMAN	5|9|11|10	35	8.75	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.87	87.5	0.0	
DNMT3A	O75400	PR40A_HUMAN	2|3|2|3	10	2.5	4	0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.6	25.0	0.0	
